,year,month,day,scan,# shots,scan_parameter,scan_info_txt,ESP4_3_Probe Delay MEAN,LongProbeImaging MEAN,Drive Ghost Stage MEAN,HTT_LowPressureControl pressure MEAN,HTT_ProbeLongDelay position MEAN,HTT_TC_Pressure MEAN,HTT-Hexapod xpos MEAN,HTT-Hexapod ypos MEAN,HTT-Hexapod zpos MEAN,ScatterDelay MEAN,HTT-HOFI_GasCellLength position MEAN,sfilename
5,2025,10,16,6,2,Shotnumber,test scan',197.1,54.0,43.0,119.35,0.758444,50.620000000000005,18.0,5.5,-2.15,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s6.txt
6,2025,10,16,7,144,HTT-LPModeStage position,focal scan of LP mode,197.09999999999997,54.0,43.0,66.90499999999999,0.758444,1e-05,18.0,5.5,-2.15,-500.0000047282609,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s7.txt
7,2025,10,16,8,5,Shotnumber,test scan for diagnostics and bg scan,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s8.txt
8,2025,10,16,9,1,Shotnumber,test scna ,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s9.txt
9,2025,10,16,10,1,Shotnumber,test,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s10.txt
10,2025,10,16,11,1,Shotnumber,test,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s11.txt
11,2025,10,16,12,4,Shotnumber,test ,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s12.txt
12,2025,10,16,13,1,Shotnumber,test,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s13.txt
13,2025,10,16,14,2,Shotnumber,,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s14.txt
14,2025,10,16,15,5,Shotnumber,test scan,197.1,54.0,43.0,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s15.txt
15,2025,10,16,16,14,Shotnumber,test scan,197.09999999999997,,,66.93571428571427,0.7217409999999999,1e-05,18.0,5.5,-2.1499999999999995,-500.0000046428571,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s16.txt
16,2025,10,16,17,50,Shotnumber,background scan,197.1,,,66.96600000000001,0.721741,1e-05,,,,-500.00000530000005,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s17.txt
17,2025,10,16,18,144,HTT-LPModeStage position,focal scan kHz pulse in vac,197.09999999999997,,,66.97069444444443,0.7217409999999999,1e-05,18.0,5.5,-2.15,-500.00000486111105,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s18.txt
18,2025,10,16,19,30,HTT-LPModeStage position,repeat with analysis,197.10000000000005,,,66.982,0.7217410000000003,1.0000000000000006e-05,18.0,5.5,-2.1499999999999995,-500.0000053333333,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s19.txt
19,2025,10,16,20,144,HTT-LPModeStage position,focal scan axicon kHz vac,197.09999999999997,,,67.0026388888889,0.7217409999999999,1e-05,18.0,5.5,-2.15,-500.0000051736111,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s20.txt
20,2025,10,16,21,20,Shotnumber,probe only ,197.09999999999997,,,104.999,444.99998500000004,0.009268499999999999,-8.75,5.5,-2.1000000000000005,-544.99999975,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s21.txt
21,2025,10,16,22,13,Shotnumber,probe only,197.09999999999997,,,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s22.txt
22,2025,10,16,23,10,Shotnumber,bg for phasics,197.09999999999997,,,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s23.txt
23,2025,10,16,24,2,Shotnumber,again,197.1,,,105.03,444.999985,0.00926,-8.75,5.5,-2.1,-545.0,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s24.txt
24,2025,10,16,25,6,Shotnumber,bg again,197.1,,,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s25.txt
25,2025,10,16,26,5,Shotnumber,test scan with tony maybe wathcing,197.1,,,,,,,,,,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s26.txt
26,2025,10,16,27,5,Shotnumber,test mc,197.1,,,71.372,,9e-05,-8.75,5.5,-2.1,-585.0,,Z:/data/Thomson/Y2025\10-Oct\25_1016\analysis\s27.txt
